Altium Designer Pick and Place Locations
C:\Users\thoma\Documents\Altium\UltraZOhm\UZ_A_MAX11331_Daughter\Project Outputs for UZ_A_MAX11331_Daugther\Pick Place\PickPlace_UZ_A_MAX11331_Daugther_2v01.txt

========================================================================================================================
File Design Information:

Date:       21.04.21
Time:       17:24
Revision:   960d3172a432447561f6f2b9979d694950ee8413
Variant:    SMD_Assembly
Units used: mm

Designator  Footprint                     Center-X(mm) Center-Y(mm) Ref-X(mm) Ref-Y(mm) Pad-X(mm) Pad-Y(mm) Rotation Layer    Comment                    
R21A        RES_1206                      -34.4411     92.6110      -34.4412  91.1110   -34.4411  91.1110   0        TopLayer 160R                       
R20H        RES_0603                      -37.4122     19.1770      -38.2121  19.1770   -38.2122  19.1770   90       TopLayer 24.3k                      
R20G        RES_0603                      -37.4122     42.0370      -38.2121  42.0370   -38.2122  42.0370   90       TopLayer 24.3k                      
R20F        RES_0603                      -76.5282     19.1770      -77.3281  19.1770   -77.3282  19.1770   90       TopLayer 24.3k                      
R20E        RES_0603                      -76.2729     42.0890      -77.0729  42.0890   -77.0729  42.0890   90       TopLayer 24.3k                      
R20D        RES_0603                      -76.4002     67.3490      -77.2002  67.3490   -77.2002  67.3490   90       TopLayer 24.3k                      
R20C        RES_0603                      -76.4002     90.3490      -77.2002  90.3490   -77.2002  90.3490   90       TopLayer 24.3k                      
R20B        RES_0603                      -37.4001     67.3490      -38.2001  67.3490   -38.2002  67.3490   90       TopLayer 24.3k                      
R20A        RES_0603                      -37.4001     90.3490      -38.2001  90.3490   -38.2002  90.3490   90       TopLayer 24.3k                      
R19H        RES_0603                      -55.4682     19.4310      -56.2682  19.4310   -56.2682  19.4310   90       TopLayer 48.7                       
R19G        RES_0603                      -55.4682     42.2910      -56.2682  42.2910   -56.2682  42.2910   90       TopLayer 48.7                       
R19F        RES_0603                      -94.5842     19.4310      -95.3842  19.4310   -95.3842  19.4310   90       TopLayer 48.7                       
R19E        RES_0603                      -94.3290     42.3430      -95.1289  42.3430   -95.1289  42.3430   90       TopLayer 48.7                       
R19D        RES_0603                      -94.4562     67.6030      -95.2562  67.6030   -95.2562  67.6030   90       TopLayer 48.7                       
R19C        RES_0603                      -94.4562     90.6030      -95.2562  90.6030   -95.2562  90.6030   90       TopLayer 48.7                       
R19B        RES_0603                      -55.4562     67.6030      -56.2562  67.6030   -56.2562  67.6030   90       TopLayer 48.7                       
R19A        RES_0603                      -55.4562     90.6030      -56.2562  90.6030   -56.2562  90.6030   90       TopLayer 48.7                       
R18H        RES_0603                      -37.4122     17.2720      -38.2121  17.2720   -38.2122  17.2720   90       TopLayer 24.3k                      
R18G        RES_0603                      -37.4122     40.1320      -38.2121  40.1320   -38.2122  40.1320   90       TopLayer 24.3k                      
R18F        RES_0603                      -76.5282     17.2720      -77.3281  17.2720   -77.3282  17.2720   90       TopLayer 24.3k                      
R18E        RES_0603                      -76.2729     40.1840      -77.0729  40.1840   -77.0729  40.1840   90       TopLayer 24.3k                      
R18D        RES_0603                      -76.4002     65.4440      -77.2002  65.4440   -77.2002  65.4440   90       TopLayer 24.3k                      
R18C        RES_0603                      -76.4002     88.4440      -77.2002  88.4440   -77.2002  88.4440   90       TopLayer 24.3k                      
R18B        RES_0603                      -37.4001     65.4440      -38.2001  65.4440   -38.2002  65.4440   90       TopLayer 24.3k                      
R18A        RES_0603                      -37.4001     88.4440      -38.2001  88.4440   -38.2002  88.4440   90       TopLayer 24.3k                      
R17H        RES_0603                      -55.4682     17.2720      -56.2682  17.2720   -56.2682  17.2720   90       TopLayer 48.7                       
R17G        RES_0603                      -55.4682     40.1320      -56.2682  40.1320   -56.2682  40.1320   90       TopLayer 48.7                       
R17F        RES_0603                      -94.5842     17.2720      -95.3842  17.2720   -95.3842  17.2720   90       TopLayer 48.7                       
R17E        RES_0603                      -94.3290     40.1840      -95.1289  40.1840   -95.1289  40.1840   90       TopLayer 48.7                       
